AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CHILDREN,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,CODE_GENDER,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,TARGET
124595.07828821737,168713.8862053383,19302.20535053699,-21437,-2282,0,0.7086458429784478,0.23812276260788584,0.13350750698348016,M,Incomplete higher,Core staff,0
53482.61087929391,192225.83096635324,4584.91545592812,-19959,-5737,1,0.20318731101408305,0.37423012229538827,0.11411151820347139,F,Secondary,,0
61930.25443446889,368205.01113376854,3863.2454809904166,-13708,-8098,2,0.2896632071948709,0.4058569532048038,0.7138249893959087,F,Secondary,Managers,0
29366.971601059646,74213.97550385277,11085.97268346109,-16974,-7433,2,0.25304330245306517,0.37751218440118495,0.45067607551184513,F,Incomplete higher,Core staff,0
45606.64176956222,26590.059090236657,6176.720681056438,-11077,-1925,0,0.29560064687503973,0.49139645620579886,0.6486102338949411,F,Higher education,,0
63288.650487134284,181735.88429039033,7134.553783861572,-7576,-7006,0,0.4309568287641018,0.6544171809923589,0.3834611071530614,M,Higher education,Core staff,0
33674.73767311809,479407.7222010035,5928.5648572520995,-6343,-4771,2,0.33081788171760507,0.5871646573407887,0.2653077183142225,F,Higher education,Managers,0
72247.21143488212,342274.32409711747,7303.288051138905,-21371,-7990,0,0.199613907366846,0.3259654948251965,0.15627607837841337,M,Higher education,Managers,1
44341.69257303298,184572.13638490898,15358.360225316634,-22886,-2623,1,0.10043213021323762,0.6280852778226395,0.28971822958289406,M,Higher education,Managers,0
51748.62419153363,121178.29938657173,11168.486471309707,-23323,-9170,0,0.2575075501172082,0.29553330547016693,0.2685052856782189,M,Secondary,Managers,0
44318.0221517441,264150.30519642466,11440.207521434468,-21906,-9952,0,0.6292706453685606,0.3520510086026121,0.09378420083282422,M,Incomplete higher,,0
151166.7924956226,90750.77392385756,4598.609148257189,-22716,-5790,0,0.33546209626528717,0.41319088390280945,0.20346779783015917,M,Secondary,,0
59471.434726916836,216601.5266161947,5112.9842023824385,-19948,-8822,0,0.3290147734772336,0.6294533552413969,0.14895167896392691,M,Secondary,,0
35282.57643022995,220418.23648271893,2602.8662904771963,-7027,-4232,2,0.24854756981145562,0.1026537646994019,0.4006020366918536,F,Secondary,Laborers,0
90334.29492394529,307467.89199463115,5862.009087842551,-6096,-2122,0,0.47757608900694304,0.7222831082621292,0.31323399924123685,F,Incomplete higher,Managers,0
32518.94673824811,852387.0812428737,11880.827846697539,-12953,-9930,2,0.17438785016056046,0.302325628410592,0.4941180492458528,F,Secondary,Core staff,1
66465.06813999795,205962.5387089201,9964.445698863714,-24306,-2314,2,0.45830116765724527,0.1628370658695438,0.3383518501619681,M,Secondary,Core staff,0
22475.13661965379,119924.99978476296,7415.996941445411,-9412,-2121,0,0.29231923406371907,0.564299339624013,0.6115118047099442,M,Higher education,Core staff,0
30819.626053243825,160276.44950630292,8031.1249177500895,-11945,-4545,1,0.43115958822287603,0.4524442299564599,0.21711422889921528,M,Incomplete higher,Drivers,0
66067.39378220949,56305.89170570877,6151.466471153705,-8920,-1742,0,0.3035080469060717,0.17395488077593113,0.06262579895805505,F,Higher education,Core staff,0
86615.43310073898,107277.27548638395,8794.691263883744,-18296,-4388,1,0.02915206675476278,0.6849577451635702,0.26278512659061315,F,Higher education,Managers,0
65230.611586616986,127316.39125946506,11007.71106161539,-17632,-4231,1,0.46902242726964405,0.21030497469686343,0.37484802217339197,F,Secondary,Drivers,0
56510.16761919293,118841.61999783701,4245.629097413244,-23029,-8223,0,0.06780461670012179,0.5611128086460467,0.2214348331571551,M,Higher education,Managers,0
51505.720193659006,178333.90150605724,9134.914189162118,-10407,-2620,0,0.3303550435170799,0.2731099914990922,0.5273561648920566,M,Secondary,Laborers,0
28587.904987265712,99364.2868210326,11766.054746824911,-16945,-7772,1,0.15371584183859874,0.39034725434226164,0.23312155003042645,M,Higher education,Managers,0
41776.02526879508,318895.39109806,6863.411390885368,-13559,-19,2,0.4102438665484892,0.40032797523490843,0.23050289553212527,F,Incomplete higher,Core staff,0
47556.82612821127,162775.01315968478,10724.43696356241,-10323,-1196,0,0.07970499351126535,0.35083605558169784,0.5734084712589275,M,Incomplete higher,Laborers,0
101575.85244672929,161849.11759012647,24980.774244852575,-23132,-186,1,0.3864553724327121,0.16983669646930702,0.6200653462914919,F,Higher education,,0
71097.62025122158,133687.88826482356,7771.845123520269,-6945,-1112,0,0.04746317090125244,0.7462606057369434,0.5220730547951895,F,Secondary,Laborers,0
24797.048731724328,178637.59262809384,9483.633666870097,-23272,-3254,2,0.46383354344853134,0.39013449847036086,0.1302982261399052,F,Secondary,Laborers,0
70406.57866296772,267014.6911228173,6031.657735015721,-17368,-3609,0,0.2835195760267187,0.6334756471170099,0.3584283940532839,F,Secondary,,0
49387.80744170998,96734.15942108464,8712.38159768595,-12957,-571,1,0.46676328384875704,0.44042590049456715,0.4634236804452103,M,Higher education,Managers,0
42682.27466694224,109658.92068737731,9741.093409059033,-18597,-7594,0,0.20277220638524635,0.6943722638447006,0.5015965555327041,M,Secondary,Laborers,0
81294.86597642384,135640.64924165778,8759.875189965065,-9268,-1560,1,0.235554462950995,0.5701064546647746,0.07028443702538743,M,Higher education,Drivers,0
100257.76126235511,72582.37813347482,5389.036398414898,-6474,-9363,2,0.48966369060811726,0.5269898822113238,0.2652375406672904,M,Incomplete higher,Drivers,0
95381.51347379487,99552.98402359453,8800.331837218599,-15660,-1910,1,0.09575891302553745,0.4665458687849978,0.601555464415774,M,Secondary,Drivers,0
39355.50877733504,122304.29943397938,14543.193689462601,-18816,-9051,1,0.5124360611499467,0.10160042133094548,0.4384748954951232,F,Higher education,,1
51297.32123090885,275029.46281737887,9695.860354333774,-24747,-6413,1,0.5081891649332527,0.49626600228035267,0.4142262181794147,M,Secondary,Laborers,0
70659.77352012864,190524.63778694844,11905.965733574081,-20898,-8889,2,0.39065175122151435,0.3306634486945393,0.2705220428910781,F,Higher education,,0
97516.07971687509,182801.09841529262,7370.163813421763,-21458,-1633,1,0.08078949607750517,0.6198227756925526,0.2015123521935632,M,Secondary,,0
47118.118194446244,271180.18746259116,10937.582743633755,-18788,-9278,2,0.2838900373488988,0.5086105473478529,0.29212519079761906,M,Incomplete higher,Drivers,0
54566.232152773635,149878.00272033218,9060.749621431256,-20363,-6158,1,0.1071979570669883,0.3376165592256634,0.22098121114928493,F,Higher education,Managers,0
34435.128959942755,205721.565549245,5539.3680792889245,-13475,-6326,1,0.4448859767277018,0.512920182512613,0.06490120868417092,F,Higher education,Drivers,0
32922.009273227784,152980.68464281544,9204.137607863218,-13529,-5134,0,0.11038631581427974,0.3883637478968218,0.36755736293605545,F,Incomplete higher,Drivers,0
89882.89282516975,190845.10504013707,5449.7299426590325,-12500,-9298,1,0.28867518641199286,0.4558311524567513,0.5555469813839207,F,Incomplete higher,Core staff,0
117962.25911560976,114730.91608138863,6290.827443231442,-9753,-7872,0,0.22194991424175084,0.3047935564257161,0.14397526683466327,F,Secondary,Drivers,0
57756.7173408317,37673.40568573336,8740.575585248964,-14468,-882,2,0.3468423593336659,0.28869769047255167,0.05382246466730702,F,Higher education,Managers,0
98890.3014846202,150156.37089105777,9126.136415232824,-11482,-5767,1,0.19248074170120588,0.5828654552701098,0.6269371981741659,M,Higher education,Laborers,0
71741.02312282495,382180.72647312406,5035.695929481691,-18524,-7483,3,0.37449466955311844,0.4220186298098316,0.1704290279526469,F,Secondary,Laborers,0
43366.39548989126,283716.06370423496,12352.25984198157,-23996,-8851,0,0.15704293585686815,0.3079144412878745,0.3797831292384435,F,Secondary,Managers,1
71732.3996692858,290465.0362113563,10186.336183024907,-14714,-8122,0,0.1169489328756998,0.40633360690225445,0.4803028935834776,F,Higher education,Managers,0
129187.26317483674,341696.58130188694,6112.6069206171505,-20283,-555,2,0.3278273392755387,0.2579098305862811,0.21397846831743456,F,Incomplete higher,Drivers,0
58811.164037321854,171646.86839293136,4380.709959391155,-21729,-325,0,0.18821667753036656,0.7382053861567927,0.40542191866871224,F,Secondary,Managers,0
130917.39462521822,183210.20328224628,7646.766581359056,-12286,-9691,0,0.4607690647140778,0.5295170313260373,0.45651707912251493,F,Higher education,,0
16157.30337763945,112353.88570608984,6779.255146191002,-24791,-6048,2,0.05908056072039172,0.4043430285604473,0.5913760618078719,M,Secondary,Drivers,0
90305.28385884807,134639.52304121412,8478.223236382331,-19461,-2272,1,0.43828126765841086,0.1889421567370284,0.3378071275550906,M,Incomplete higher,,0
62537.617465711475,235499.17514481427,7007.61949640441,-8463,-6951,0,0.5702059190515246,0.3748001757870693,0.5475401924671787,F,Higher education,Core staff,1
51559.73538000993,335149.05840248696,3630.1064638096504,-16394,-4234,2,0.20422092718840582,0.8555171127446705,0.2812896426089056,F,Higher education,Drivers,0
62685.183336192444,149691.5667658459,6937.253491589544,-13384,-244,0,0.1288013508720171,0.6429558027718405,0.8932099083656654,M,Higher education,Core staff,0
22163.798590270853,124229.56219952156,7170.655525553756,-23716,-308,2,0.34249722717803033,0.7290373430150836,0.37834980838392845,F,Incomplete higher,Core staff,0
53646.10021714487,162806.3562859612,10440.673907807683,-21852,-3588,0,0.07937875750329,0.5078728528820143,0.14478094345478237,F,Secondary,Drivers,0
71578.94788451088,233450.19818941923,6128.590882494634,-24232,-5135,1,0.4056526249908498,0.7280680863045769,0.4094145252503194,F,Incomplete higher,Core staff,0
125360.26894021804,68438.2467480099,15858.642032319967,-19393,-9985,0,0.09888549846586074,0.6041166497097811,0.3890751189774517,M,Incomplete higher,Managers,0
46205.99778654184,41039.546439630496,3771.936389475367,-6406,-9395,1,0.46024520845409095,0.15220417224175942,0.20395398071832413,F,Incomplete higher,,0
39964.75415579039,116970.59884819784,13690.63086121501,-17601,-427,0,0.2824463439852089,0.28458476224264023,0.5629261135220641,F,Higher education,Core staff,0
46589.080946626,78242.83544885485,7407.678761436136,-24642,-5092,2,0.06475982946925912,0.3055748026444003,0.2548239128150296,F,Incomplete higher,Managers,0
94627.27747243758,119984.26418951406,11428.139257733952,-24151,-1994,0,0.5970164537585966,0.41930874440216737,0.30883337612137474,M,Higher education,Managers,0
70571.06920252321,148944.91352896745,8365.911669070525,-17502,-914,0,0.13689618488558544,0.2411333751996584,0.20429058702100708,F,Higher education,,0
45941.305719418975,124001.74965222189,12782.370737060326,-20478,-241,1,0.3164113767629448,0.3837600124469441,0.7034464055044529,F,Secondary,,0
77391.61470441605,389056.75849422184,6939.987235117237,-6072,-3588,0,0.09355630253544626,0.3327958334219383,0.14351490520712232,F,Secondary,Laborers,0
62852.04647052314,198004.86077843804,5221.561791645029,-12227,-1395,0,0.270291995528582,0.5285553942717542,0.43893909100888584,F,Incomplete higher,Laborers,0
97180.22228070487,194908.32830772194,14302.672900617103,-6785,-5880,0,0.3076956133456868,0.42137185301420166,0.5226807186642007,F,Higher education,Core staff,0
42149.30409370507,236410.3360859425,7743.489785485529,-7144,-1493,0,0.2662928730173373,0.19177050638122578,0.8640685129330105,F,Higher education,Managers,0
50826.28528924849,82182.70268940151,8853.98916410601,-15372,-5334,0,0.40687556619182624,0.6599635361173269,0.5205763771236215,F,Secondary,Laborers,0
49214.61560137578,303600.2270772645,13278.490715334223,-24671,-5180,0,0.24920971414126303,0.2296208259696627,0.3881600430953266,F,Higher education,,0
28803.221742713624,155521.83645079355,5362.673425657201,-19149,-2165,0,0.09452108106384638,0.3738149137181049,0.40967827161090004,M,Incomplete higher,Laborers,0
69429.01471093169,243357.87373685607,10282.475928193106,-17968,-8151,1,0.2447142274970262,0.3983753463783588,0.3825963804992152,F,Higher education,Core staff,0
68222.35909639139,85552.51356911902,6399.928500028715,-9674,-8047,1,0.137525770848874,0.5224444013625907,0.41881501065031285,M,Incomplete higher,Laborers,0
60027.41949034858,64070.84737987346,7685.8192782665055,-19734,-1420,0,0.32135765326922844,0.4553396535239374,0.2967769790766703,M,Secondary,Managers,0
53247.51593163687,265862.3027280291,8340.776413417605,-20646,-7231,3,0.33988670379471697,0.7811376147353318,0.5552093671813131,F,Secondary,,0
29504.98847781363,203993.9704268689,4446.672112145689,-9918,-6954,2,0.37870055726134116,0.34957484554657614,0.1343802621718967,F,Higher education,Drivers,0
48517.37880494381,94728.39419952281,5934.067541297346,-20278,-2406,0,0.03768741070482612,0.6320679627402204,0.5845707515926244,M,Higher education,Laborers,0
50445.19314893446,96587.26229781217,13910.916310363738,-7228,-3160,0,0.3120670641582241,0.4078563547273363,0.4392664959234657,F,Secondary,Managers,0
40089.16452318904,319739.17703185836,11550.413029424766,-16089,-4934,2,0.3414509349076053,0.5744685869310228,0.6146449537632529,F,Incomplete higher,Laborers,0
99999999.0,79726.1458479315,7902.576852022873,-21765,-7585,0,0.20888701920816585,0.7357546616564763,0.6612259571909896,F,Incomplete higher,Laborers,0
73278.71241277449,436089.93410948844,8930.693973107911,-20424,-7611,0,0.20130215925371406,0.5289210296660699,0.47258392931465526,M,Incomplete higher,Managers,0
153751.50136631745,94809.75266940682,7203.360971946744,-23900,-4076,0,0.08223282657000966,0.38839569317808825,0.3774502737583279,F,Secondary,Managers,0
65335.375480845214,238717.26890783175,13941.612533291562,-16136,-1505,1,0.1450331482592725,0.6120135670329755,0.6483300380042935,M,Secondary,Core staff,0
68102.90815163254,133629.846161959,7479.034378728508,-16292,-9237,0,0.6026555459472096,0.2775458773769093,0.43059034477135033,M,Secondary,Core staff,0
57686.41841980109,233727.7974922763,8890.484592402889,-6084,-2459,1,0.16354282794059463,0.30086517807523094,0.513224823323726,F,Higher education,,0
22939.472424310374,117422.23911663349,12815.51797814163,-7835,-9185,1,0.33959633612207496,0.40266757211730175,0.34429501277453317,F,Secondary,Drivers,0
59085.632106662604,147609.30871824265,5937.547249143017,-10561,-3745,1,0.3020010000745051,0.40247665472683447,0.3735794927111976,F,Incomplete higher,Drivers,0
61704.68290395539,166800.12281999757,15116.099906953048,-13250,-9123,2,0.4039755914037618,0.4948917369691283,0.5321657681169637,F,Incomplete higher,Laborers,0
205175.51370646822,89204.56786725558,4393.209955830415,-15219,-2827,0,0.2316166511085907,0.434961826262737,0.16494917298903342,M,Secondary,Drivers,0
54383.687057610245,253848.9305008613,15550.636549755285,-20005,-2927,1,0.14590696903918662,0.3172918449383877,0.14843144836552521,F,Secondary,Managers,0
69617.66845141408,119619.58486172336,6980.876538258878,-7115,-5202,0,0.721687244702075,0.17601190924852003,0.2050536154899196,F,Incomplete higher,Drivers,0
99999999.0,141894.63452867168,7353.417873110937,-13014,-3011,0,0.5164380573450906,0.37502045287232144,0.20475103948382947,M,Secondary,Laborers,0
33378.29045284421,89625.07146099597,3804.7133467822764,-12490,-4961,0,0.42956112988140444,0.5247504784661171,0.33812610225738515,F,Higher education,Core staff,0
106023.008117994,34982.38068514393,6755.296298730164,-15732,-229,0,0.0696215057254136,0.6406388557339643,0.4266395434199961,M,Secondary,Laborers,0
87200.6022441985,145129.7345539155,5345.858284178373,-24498,-3676,0,0.39244139742137457,0.17094977150484322,0.08275960379811018,F,Incomplete higher,Managers,1
88922.09902080028,692157.806701346,6354.645897998628,-15469,-605,0,0.5412634545799069,0.7145400745288277,0.3787932196929737,M,Incomplete higher,Drivers,0
37998.663711472254,260605.37599003242,7670.028527261584,-16991,-7177,0,0.07442681692740576,0.4780509217740232,0.5831997410786703,F,Secondary,Drivers,0
120740.29015277153,160884.78588322407,11886.001543546441,-7993,-4713,1,0.17306265975887655,0.5039441636982476,0.33327607293647055,M,Incomplete higher,Managers,0
29705.11311133073,139005.0444518791,8804.703449335648,-13458,-6715,0,0.18549500835772212,0.7022898009577991,0.36769709282468754,M,Secondary,Drivers,0
80292.263224049,164963.50319975297,9164.298914275549,-7566,-2567,1,0.319598086094178,0.4194587505253366,0.5462184847261023,F,Incomplete higher,Core staff,0
179015.52499991236,225995.7491722361,5228.042711458414,-7287,-3826,0,0.20799377385646237,0.4379393833519573,0.7339020613026149,F,Incomplete higher,Laborers,0
36487.748928509165,80138.55161278063,5697.019168605731,-11565,-5174,0,0.37008703661836034,0.5612628511699682,0.3362374222145584,F,Incomplete higher,Laborers,0
45109.63482683338,317614.2950042102,16638.756921376953,-20886,-6336,0,0.44948909084369615,0.8036184312497548,0.24437107860418075,F,Secondary,Managers,0
62932.98333173081,250003.14812491188,6038.552356312205,-11432,-9503,0,0.2523905265713301,0.4097430940572361,0.16912239118662892,F,Secondary,Core staff,0
46549.06389993024,250424.1690774041,15716.765704444497,-21633,-2359,1,0.452669983114077,0.4807338479891393,0.4927200590161413,M,Secondary,Managers,0
27575.0948676829,211733.87178011757,7352.351848761023,-16905,-5357,0,0.20738782059248104,0.5843566532731596,0.2171318950270322,F,Higher education,,0
61962.30451321754,164681.73223398725,8110.50305739332,-19859,-4944,3,0.20790921425869863,0.4776506147546914,0.5072345479371873,F,Higher education,Core staff,0
35201.646749105144,243705.7274966114,12433.454523217606,-21049,-9869,3,0.38261912123611347,0.7518785151833746,0.13909862816038424,F,Higher education,,0
75871.48607914153,232138.2736560378,13477.231280866461,-10113,-4557,0,0.3240438051361741,0.43778560605149713,0.3858800785841197,F,Incomplete higher,Laborers,0
37808.44929238952,131607.01125072577,7751.7583143749225,-23427,-9143,1,0.1828163413329826,0.5951551441461655,0.13653448169391003,F,Incomplete higher,Drivers,0
99999999.0,115362.99752354546,6937.541767599053,-11641,-1288,0,0.31812061456212987,0.33268733394666966,0.23871785654623767,F,Secondary,Laborers,1
40472.31154899348,173011.5747233603,7923.844792330704,-22232,-1779,1,0.4357676320229459,0.30620622385257296,0.19919535989695894,F,Incomplete higher,Drivers,0
50968.81437834962,412261.06925703585,9275.975074655522,-19698,-3853,1,0.11050365811317092,0.4575628249793562,0.16461723397837244,F,Higher education,Drivers,0
99999999.0,77384.0336423358,11574.057784660052,-11254,-5396,0,0.3798875075064717,0.7651315390815936,0.5623259777252442,F,Higher education,,1
32356.423466618504,67473.13789533541,8116.805493332262,-23789,-548,0,0.662619565870485,0.6190821334830089,0.13426089798491728,F,Secondary,Managers,0
67085.9537057547,179666.29718593968,10379.152637228548,-9555,-8442,0,0.237339223441549,0.5441019588428093,0.2312265178525112,M,Incomplete higher,Core staff,0
115101.7014704116,167800.7631726417,15604.956902225083,-9185,-9985,0,0.38567797518475255,0.23608650583296556,0.19013329658511502,M,Incomplete higher,Drivers,0
26802.712731991644,180593.6933156139,9438.230975409888,-23840,-6395,1,0.34215610242517885,0.43657125196145685,0.09392431845412064,F,Higher education,Core staff,0
65664.71049986534,188409.28413248798,9178.886155247115,-17959,-8393,0,0.3095965030957521,0.6781188609958252,0.7045373984133273,M,Secondary,,0
68182.37621206234,142354.91891990107,4413.554575487942,-6233,-4065,0,0.40817644735881886,0.7702789151107837,0.344096436289349,F,Higher education,Drivers,0
88513.59507710664,397884.90664459666,2829.083100172584,-14154,-7984,0,0.33405762150705254,0.7240590635035647,0.4400876026295074,F,Incomplete higher,Core staff,0
32258.106163956894,62283.86066790656,9464.94536863809,-19124,-6426,1,0.15222878009780386,0.15189167580531054,0.6279870806147076,F,Higher education,Core staff,0
30938.965672384347,99002.63898066962,7801.492242242291,-12111,-2726,0,0.35495455649959745,0.47942652640309125,0.4639887086307624,F,Higher education,Managers,0
77727.99619183726,152977.65499286394,6595.131010202575,-11118,-65,1,0.3207954059257258,0.4552417782247258,0.769446293070383,M,Incomplete higher,Core staff,0
69459.028283522,60723.54015436729,8932.147099769085,-10262,-6209,1,0.12982433822360787,0.3180795343293285,0.6804670794034992,F,Incomplete higher,Laborers,0
67863.01215745343,146457.03051342926,7909.647598046184,-23905,-3594,1,0.3839070075132954,0.7442299528391841,0.7266813171377768,F,Incomplete higher,Drivers,0
71198.29174370048,441036.13922914624,12722.305878911533,-19099,-8912,1,0.3429045800189708,0.2366907420188416,0.6396409199519615,M,Higher education,Managers,0
42616.1104017458,164807.25078601087,8387.051834497135,-16785,-8639,0,0.24224078294660692,0.3040626483577542,0.41609918781175775,F,Higher education,,0
67246.94363203374,186917.1114759398,6010.304464952296,-12089,-5527,0,0.576248303021045,0.1316465140619168,0.4179154581060952,M,Higher education,Core staff,0
69323.29228044768,76412.4668797327,12040.92442720647,-10877,-4706,1,0.09053426424398413,0.23592604518701962,0.19933361738913954,F,Secondary,Core staff,0
41890.91643947032,112440.91415843935,7429.007658335039,-23921,-2894,3,0.21681877410697317,0.48848208802229764,0.078490878942404,F,Secondary,Laborers,0
152190.34034950286,129947.02830307232,10002.743391168347,-12490,-2681,1,0.5106975195589726,0.4659338833366754,0.4264949292040174,M,Incomplete higher,Laborers,0
75880.60980500924,134506.92207565677,6694.460802380921,-6656,-1333,0,0.5038270081776398,0.3689919874019054,0.1891393575472632,F,Secondary,Managers,0
33002.81868172333,351156.15059187537,6248.328367779328,-23527,-519,0,0.313186783564431,0.34768298320895036,0.141587241482928,F,Incomplete higher,Core staff,0
83139.63347897306,227433.83421023987,8380.537163468027,-20112,-1480,3,0.667494738849715,0.342262555476472,0.29158213555639206,F,Higher education,,0
36778.14878884596,83543.70823799344,8144.771425033249,-20021,-8814,0,0.21914212503521963,0.47597517118521343,0.596696756535717,M,Incomplete higher,Core staff,0
88746.7690736659,188697.94991820978,9817.588629791488,-23788,-6586,0,0.25645729725028477,0.732947404872633,0.22155481379959563,F,Higher education,Laborers,0
106862.45182310586,219461.70884363606,7277.492890295877,-15999,-4514,0,0.323923602189979,0.6390327806306154,0.17450462262084596,F,Incomplete higher,Core staff,0
39721.9353114016,322574.50865178346,3887.245493723272,-11752,-6464,3,0.2568332896986043,0.5896812574302732,0.7852576223284727,F,Secondary,Drivers,0
96924.5446554673,420132.0778692037,6815.062033370122,-24581,-8227,0,0.04866765223619223,0.7114794893685433,0.22016329856580227,M,Higher education,Drivers,0
73599.27568765842,88516.43189606795,11131.42409210279,-9392,-4585,0,0.3850019240777277,0.41820617071573085,0.47052855237502483,F,Higher education,Managers,0
90312.40270715083,100056.01851486978,7194.337723402457,-21341,-7442,1,0.10759931506790903,0.13368439749743075,0.31176505560109924,F,Higher education,Managers,0
154569.09486864705,76531.16210518424,7342.587933729459,-19717,-4093,0,0.37530612728898993,0.6348704496494948,0.3302790335526199,M,Secondary,Laborers,0
52960.728278498646,141433.94744010997,12022.685499114983,-14285,-4921,2,0.16347260387248613,0.5341531619339097,0.4534550491221819,F,Secondary,Drivers,0
41074.054255553856,215305.8866656684,6094.9187370102845,-8835,-546,1,0.13196093607594686,0.5566984666689253,0.38590321716441944,F,Secondary,Laborers,0
38378.120025753546,294313.4721062426,4371.5753394382045,-23660,-3276,0,0.4062075758969649,0.7996139607736453,0.5707675555159057,M,Higher education,Managers,1
39818.81656316795,155504.41240823225,7598.814689398159,-10195,-4580,2,0.10130394927810814,0.311503010032147,0.1845319317243601,M,Incomplete higher,,0
57609.86764500918,134334.93644820305,6676.374765901159,-14416,-6709,3,0.11397238159008716,0.3371439805083248,0.3000230328319665,M,Incomplete higher,Laborers,0
71009.99973244728,178270.04660037893,5505.492295306182,-10220,-790,0,0.2021472255831363,0.19897689587492723,0.352754574685652,M,Secondary,Core staff,0
68757.7956013036,98608.64941667335,7554.1217289175775,-19863,-19,0,0.13185247897884056,0.4974629128870985,0.12359454724157909,M,Incomplete higher,,1
90544.0384934957,570189.039467864,9863.558241326271,-7255,-6476,2,0.26112671073214655,0.4109308702291744,0.47563609430545617,M,Higher education,Core staff,0
60264.64822919007,62031.858804067044,8073.033389818301,-24409,-6496,0,0.29270073650922507,0.0680442978394297,0.439986736193231,M,Higher education,Managers,0
123842.6439818963,181833.0699934504,9161.749465125478,-24474,-1002,2,0.1553352445899478,0.3514034878297585,0.7950254722232245,M,Secondary,Core staff,0
52452.93568539626,548072.9796120615,16736.765062581206,-17145,-4011,2,0.18905564235325079,0.3210254104827122,0.5735292047127286,M,Secondary,Managers,0
233300.96243104307,163420.1722116456,7064.577244874126,-14305,-7334,0,0.36500272831945557,0.6064275439360868,0.572659578263433,F,Incomplete higher,Managers,0
81865.56043406476,145215.85636105735,9057.418764449614,-23708,-1404,3,0.1377523295922797,0.2584041204399098,0.3105619259616279,F,Incomplete higher,Drivers,0
39004.067782647355,131338.435299264,6609.839525125602,-6962,-2860,0,0.09330978000581391,0.5028302980849859,0.12376246270971875,F,Incomplete higher,Managers,0
35050.80119981717,146058.8630395656,5775.938956508016,-8429,-1215,1,0.34951966223703507,0.3044181835115428,0.06311566467729773,M,Secondary,Laborers,0
